,Seed,Dataset,Model,Fine Tune Result,Adapter Result
0,632714,citation_intent,base,0.6989724056771852,0.590443652208358
1,632714,citation_intent,dapt,0.6950270855904658,0.6948325978760762
2,632714,citation_intent,tapt,0.726741468408135,0.6240414460415921
3,632714,citation_intent,dapt_tapt,0.7633155883155883,0.7271310438369766
